first_name,last_name,full_name,year_id,set_id,card_number,team,onbase,strikeout,groundball,flyball,base_on_balls,single,single_plus,double,triple,homerun,points,speed,hand,starting_position,fielding_one,starting_position_two,fielding_two,starting_position_three,fielding_three,starting_position_four,fielding_four,total_outs,extra_base_hits,number_of_positions
Jay,Bell,Jay Bell,2000,BS,16,Diamondbacks,9,2,1,2,5,4,0,2,1,3,410,15,R,2B,2,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Steve,Finley,Steve Finley,2000,BS,19,Diamondbacks,7,0,1,2,4,3,1,2,2,5,350,15,L,OF,2,NULL,NULL,NULL,NULL,NULL,NULL,3,10,1
Andy,Fox,Andy Fox,2000,BS,20,Diamondbacks,7,1,1,1,6,6,1,1,1,2,190,15,L,SS,1,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
Hanley,Frias,Hanley Frias,2000,BS,21,Diamondbacks,10,0,3,2,6,7,1,0,1,0,290,15,S,SS,1,NULL,NULL,NULL,NULL,NULL,NULL,5,2,1
Bernard,Gilkey,Bernard Gilkey,2000,BS,22,Diamondbacks,9,1,1,3,5,5,0,3,0,2,330,15,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Luis,Gonzalez,Luis Gonzalez,2000,BS,23,Diamondbacks,10,0,2,3,3,7,0,3,0,2,450,15,R,LFRF,2,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Travis,Lee,Travis Lee,2000,BS,25,Diamondbacks,7,0,2,1,8,4,2,1,0,2,200,20,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
Kelly,Stinnett,Kelly Stinnett,2000,BS,28,Diamondbacks,6,3,0,1,4,4,0,2,0,6,230,15,R,C,6,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Matt,Williams,Matt Williams,2000,BS,30,Diamondbacks,7,0,1,2,0,9,0,3,0,5,330,15,R,3B,3,NULL,NULL,NULL,NULL,NULL,NULL,3,8,1
Tony,Womack,Tony Womack,2000,BS,31,Diamondbacks,7,0,2,1,3,6,5,1,1,1,210,20,L,LFRF,2,NULL,NULL,NULL,NULL,NULL,NULL,3,8,1
Bret,Boone,Bret Boone,2000,BS,32,Braves,6,0,1,1,3,6,1,4,0,4,190,15,R,2B,2,NULL,NULL,NULL,NULL,NULL,NULL,2,9,1
Jose,Hernandez,Jose Hernandez,2000,BS,34,Braves,7,2,1,0,4,8,1,1,0,3,230,15,R,SS,3,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
Brian,Hunter,Brian Hunter,2000,BS,35,Braves,8,1,0,3,8,3,0,3,0,2,220,10,R,1B,1,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Andruw,Jones,Andruw Jones,2000,BS,36,Braves,8,1,1,2,5,4,1,2,1,3,390,20,R,CF,3,LFRF,2,NULL,NULL,NULL,NULL,4,7,2
Chipper,Jones,Chipper Jones,2000,BS,37,Braves,10,1,2,1,7,3,1,2,0,3,610,20,S,3B,2,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Brian,Jordan,Brian Jordan,2000,BS,38,Braves,8,0,2,3,3,6,1,1,1,3,300,15,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Ryan,Klesko,Ryan Klesko,2000,BS,39,Braves,9,1,2,2,4,5,0,3,0,3,410,15,L,LFRF,0,1B,0,NULL,NULL,NULL,NULL,5,6,2
Keith,Lockhart,Keith Lockhart,2000,BS,40,Braves,7,0,2,2,5,9,1,0,1,0,120,15,L,2B,4,NULL,NULL,NULL,NULL,NULL,NULL,4,2,1
Eddie,Perez,Eddie Perez,2000,BS,43,Braves,6,0,3,2,1,9,0,3,0,2,110,10,R,C,6,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Walt,Weiss,Walt Weiss,2000,BS,47,Braves,6,0,1,1,8,5,1,2,2,0,80,15,S,SS,2,NULL,NULL,NULL,NULL,NULL,NULL,2,5,1
Gerald,Williams,Gerald Williams,2000,BS,48,Braves,7,0,1,2,4,6,2,2,0,3,260,20,R,LFRF,2,NULL,NULL,NULL,NULL,NULL,NULL,3,7,1
Rich,Amaral,Rich Amaral,2000,BS,49,Orioles,8,1,4,0,4,6,2,2,1,0,220,20,R,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Brady,Anderson,Brady Anderson,2000,BS,50,Orioles,10,1,1,3,7,4,1,1,0,2,500,20,L,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Albert,Belle,Albert Belle,2000,BS,51,Orioles,9,0,2,2,6,4,1,2,0,3,390,15,R,LFRF,0,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Mike,Bordick,Mike Bordick,2000,BS,52,Orioles,7,0,1,2,4,8,1,2,1,1,190,15,R,SS,5,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
Jeff,Conine,Jeff Conine,2000,BS,53,Orioles,7,0,1,2,2,9,0,4,0,2,180,10,R,1B,1,NULL,NULL,NULL,NULL,NULL,NULL,3,6,1
Delino,Deshields,Delino Deshields,2000,BS,54,Orioles,8,0,3,2,5,8,1,0,0,1,230,20,L,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,5,2,1
Charles,Johnson,Charles Johnson,2000,BS,56,Orioles,8,3,1,1,6,6,0,1,0,2,220,10,R,C,8,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
Jeff,Reboulet,Jeff Reboulet,2000,BS,60,Orioles,7,0,3,2,12,3,0,0,0,0,80,15,R,2B,5,3B,3,NULL,NULL,NULL,NULL,5,0,2
Cal,Ripken Jr.,Cal Ripken Jr.,2000,BS,61,Orioles,8,0,3,1,0,8,0,4,0,4,350,10,R,3B,2,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
B.,J. Surhoff,B. J. Surhoff,2000,BS,62,Orioles,8,0,2,3,1,9,0,2,0,3,300,15,L,LFRF,2,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Damon,Buford,Damon Buford,2000,BS,65,Red Sox,6,2,1,1,3,6,2,3,0,2,150,20,R,OF,0,NULL,NULL,NULL,NULL,NULL,NULL,4,7,1
Nomar,Garciaparra,Nomar Garciaparra,2000,BS,67,Red Sox,10,0,2,2,3,7,1,3,0,2,470,15,R,SS,1,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Butch,Huskey,Butch Huskey,2000,BS,68,Red Sox,7,0,1,2,3,8,0,1,0,5,290,15,R,LFRF,2,NULL,NULL,NULL,NULL,NULL,NULL,3,6,1
Darren,Lewis,Darren Lewis,2000,BS,69,Red Sox,7,0,4,1,5,7,2,0,1,0,140,20,R,CF,3,LFRF,2,NULL,NULL,NULL,NULL,5,3,2
Trot,Nixon,Trot Nixon,2000,BS,72,Red Sox,8,1,1,2,6,5,0,2,1,2,260,15,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Jose,Offerman,Jose Offerman,2000,BS,73,Red Sox,9,0,2,2,6,5,1,2,1,1,320,15,S,2B,2,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Troy,OLeary,Troy OLeary,2000,BS,74,Red Sox,8,1,2,2,3,6,0,2,1,3,270,10,L,LFRF,0,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Mike,Stanley,Mike Stanley,2000,BS,77,Red Sox,9,2,0,2,7,5,0,2,0,2,290,10,R,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
John,Valentin,John Valentin,2000,BS,78,Red Sox,6,0,0,2,4,8,0,3,0,3,140,10,R,3B,2,NULL,NULL,NULL,NULL,NULL,NULL,2,6,1
Jason,Varitek,Jason Varitek,2000,BS,79,Red Sox,7,1,1,2,3,5,0,5,0,3,230,10,S,C,5,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Jeff,Blauser,Jeff Blauser,2000,BS,82,Cubs,8,3,1,1,7,4,0,0,1,3,320,15,R,2B,2,SS,2,3B,1,NULL,NULL,5,4,3
Gary,Gaetti,Gary Gaetti,2000,BS,84,Cubs,5,0,3,2,4,6,0,0,0,5,100,10,R,3B,3,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Mark,Grace,Mark Grace,2000,BS,85,Cubs,9,0,2,2,5,6,0,3,1,1,300,15,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Lance,Johnson,Lance Johnson,2000,BS,86,Cubs,7,0,3,0,5,8,2,0,2,0,180,20,L,OF,2,NULL,NULL,NULL,NULL,NULL,NULL,3,4,1
Mickey,Morandini,Mickey Morandini,2000,BS,88,Cubs,7,0,3,2,5,7,1,1,1,0,110,15,L,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
Jose,Nieves,Jose Nieves,2000,BS,89,Cubs,6,0,2,2,1,12,0,2,0,1,70,10,R,SS,0,NULL,NULL,NULL,NULL,NULL,NULL,4,3,1
Jeff,Reed,Jeff Reed,2000,BS,90,Cubs,9,2,2,1,7,5,0,2,1,0,180,10,L,C,4,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
Henry,Rodriguez,Henry Rodriguez,2000,BS,91,Cubs,9,3,0,2,4,6,0,2,0,3,390,15,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Benito,Santiago,Benito Santiago,2000,BS,93,Cubs,6,1,1,1,3,9,0,2,1,2,140,15,R,C,7,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
Sammy,Sosa,Sammy Sosa,2000,BS,94,Cubs,8,2,0,2,4,4,0,1,0,7,480,15,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Mike,Caruso,Mike Caruso,2000,BS,97,White Sox,5,0,2,0,0,15,2,0,1,0,50,15,L,SS,3,NULL,NULL,NULL,NULL,NULL,NULL,2,3,1
Ray,Durham,Ray Durham,2000,BS,98,White Sox,9,1,3,1,4,6,2,1,1,1,370,20,S,2B,2,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Brook,Fordyce,Brook Fordyce,2000,BS,99,White Sox,8,0,3,2,2,8,0,4,0,1,230,15,R,C,6,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Paul,Konerko,Paul Konerko,2000,BS,101,White Sox,8,0,3,2,3,6,0,2,1,3,270,10,R,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Carlos,Lee,Carlos Lee,2000,BS,102,White Sox,7,0,2,3,0,9,0,3,0,3,220,15,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Greg,Norton,Greg Norton,2000,BS,103,White Sox,8,1,2,1,7,5,0,2,0,2,240,15,S,3B,0,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Magglio,Ordonez,Magglio Ordonez,2000,BS,104,White Sox,8,0,3,2,1,7,1,2,1,3,320,15,R,LFRF,2,NULL,NULL,NULL,NULL,NULL,NULL,5,7,1
Chris,Singleton,Chris Singleton,2000,BS,107,White Sox,7,0,2,2,0,7,2,3,1,3,310,20,L,CF,3,LFRF,2,NULL,NULL,NULL,NULL,4,9,2
Frank,Thomas,Frank Thomas,2000,BS,109,White Sox,10,0,2,3,6,6,0,2,0,1,340,15,R,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
Craig,Wilson,Craig Wilson,2000,BS,110,White Sox,6,0,2,1,4,11,0,0,0,2,100,15,R,3B,1,NULL,NULL,NULL,NULL,NULL,NULL,3,2,1
Aaron,Boone,Aaron Boone,2000,BS,111,Reds,7,0,2,2,2,7,2,2,1,2,240,20,R,3B,2,NULL,NULL,NULL,NULL,NULL,NULL,4,7,1
Mike,Cameron,Mike Cameron,2000,BS,112,Reds,8,3,0,1,7,1,2,3,1,2,340,20,R,OF,2,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Sean,Casey,Sean Casey,2000,BS,113,Reds,9,1,2,1,3,8,0,3,0,2,320,10,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Barry,Larkin,Barry Larkin,2000,BS,116,Reds,9,0,3,1,6,5,2,2,0,1,360,20,R,SS,5,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Pokey,Reese,Pokey Reese,2000,BS,117,Reds,7,0,2,2,1,7,3,3,1,1,240,20,R,2B,5,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Eddie,Taubensee,Eddie Taubensee,2000,BS,119,Reds,8,0,2,2,1,9,0,2,0,4,330,10,L,C,2,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Michael,Tucker,Michael Tucker,2000,BS,121,Reds,7,2,0,1,6,5,2,0,1,3,260,20,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,6,1
Greg,Vaughn,Greg Vaughn,2000,BS,122,Reds,8,2,1,2,7,1,1,1,0,5,410,20,R,LFRF,2,NULL,NULL,NULL,NULL,NULL,NULL,5,7,1
Dmitri,Young,Dmitri Young,2000,BS,125,Reds,8,1,3,0,2,7,0,4,0,3,330,15,S,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,7,1
Roberto,Alomar,Roberto Alomar,2000,BS,126,Indians,10,1,1,2,6,4,2,2,0,2,560,20,S,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Harold,Baines,Harold Baines,2000,BS,127,Indians,9,0,2,2,4,8,0,1,0,3,340,10,L,DH,0,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Einar,Diaz,Einar Diaz,2000,BS,130,Indians,7,0,2,2,2,10,1,2,0,1,160,15,R,C,7,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Travis,Fryman,Travis Fryman,2000,BS,131,Indians,6,0,1,2,3,8,0,3,0,3,150,15,R,3B,2,NULL,NULL,NULL,NULL,NULL,NULL,3,6,1
David,Justice,David Justice,2000,BS,133,Indians,10,2,2,1,7,5,0,1,0,2,350,10,L,LFRF,2,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
Kenny,Lofton,Kenny Lofton,2000,BS,134,Indians,10,2,2,1,6,5,1,2,0,1,440,20,L,CF,2,LFRF,1,NULL,NULL,NULL,NULL,5,4,2
Manny,Ramirez,Manny Ramirez,2000,BS,136,Indians,10,2,0,1,6,5,0,2,0,4,560,10,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,6,1
Richie,Sexson,Richie Sexson,2000,BS,137,Indians,6,1,1,0,3,5,0,1,2,7,290,15,R,LFRF,0,1B,0,NULL,NULL,NULL,NULL,2,10,2
Jim,Thome,Jim Thome,2000,BS,139,Indians,10,4,0,0,9,3,0,1,0,3,430,10,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Omar,Vizquel,Omar Vizquel,2000,BS,140,Indians,10,0,2,3,4,7,2,2,0,0,410,20,S,SS,5,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Enrique,Wilson,Enrique Wilson,2000,BS,141,Indians,7,0,3,2,2,8,1,4,0,0,130,15,S,2B,1,SS,1,3B,1,NULL,NULL,5,5,3
Kurt,Abbott,Kurt Abbott,2000,BS,142,Rockies,7,3,1,1,0,9,0,3,1,2,220,15,R,2B,4,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Jeff,Barry,Jeff Barry,2000,BS,144,Rockies,7,0,0,3,6,4,0,5,0,2,190,10,S,CF,0,LFRF,1,NULL,NULL,NULL,NULL,3,7,2
Dante,Bichette,Dante Bichette,2000,BS,145,Rockies,8,0,2,2,3,6,0,3,0,4,350,15,R,LFRF,0,NULL,NULL,NULL,NULL,NULL,NULL,4,7,1
Henry,Blanco,Henry Blanco,2000,BS,146,Rockies,7,0,0,5,6,5,0,1,1,2,190,15,R,C,8,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Vinny,Castilla,Vinny Castilla,2000,BS,148,Rockies,7,0,2,2,2,8,0,1,0,5,290,15,R,3B,2,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Todd,Helton,Todd Helton,2000,BS,150,Rockies,9,0,2,2,4,6,0,2,1,3,420,15,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Neifi,Perez,Neifi Perez,2000,BS,153,Rockies,6,0,1,1,0,12,1,1,2,2,180,15,S,SS,5,NULL,NULL,NULL,NULL,NULL,NULL,2,6,1
Terry,Shumpert,Terry Shumpert,2000,BS,154,Rockies,10,1,0,4,3,5,1,4,0,2,560,20,R,2B,4,NULL,NULL,NULL,NULL,NULL,NULL,5,7,1
Larry,Walker,Larry Walker,2000,BS,156,Rockies,10,0,1,1,5,6,1,2,0,4,620,15,L,LFRF,0,NULL,NULL,NULL,NULL,NULL,NULL,2,7,1
Brad,Ausmus,Brad Ausmus,2000,BS,157,Tigers,8,0,2,1,6,6,1,2,1,1,240,15,R,C,7,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
Frank,Catalanotto,Frank Catalanotto,2000,BS,158,Tigers,7,1,1,2,2,8,0,3,0,3,250,15,L,2B,1,1B,1,3B,1,NULL,NULL,4,6,3
Tony,Clark,Tony Clark,2000,BS,159,Tigers,8,2,1,1,5,6,0,2,0,3,300,15,S,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Deivi,Cruz,Deivi Cruz,2000,BS,160,Tigers,6,0,2,1,0,11,0,4,0,2,140,10,R,SS,5,NULL,NULL,NULL,NULL,NULL,NULL,3,6,1
Damion,Easley,Damion Easley,2000,BS,161,Tigers,8,2,2,1,5,5,1,2,0,2,240,15,R,2B,2,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Juan,Encarnacion,Juan Encarnacion,2000,BS,162,Tigers,6,2,2,1,0,2,4,4,1,4,220,20,R,LFRF,2,NULL,NULL,NULL,NULL,NULL,NULL,5,13,1
Karim,Garcia,Karim Garcia,2000,BS,163,Tigers,5,1,0,1,1,7,0,0,2,8,200,15,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,2,10,1
Bobby,Higginson,Bobby Higginson,2000,BS,164,Tigers,8,1,1,3,8,4,0,1,0,2,210,15,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
Gabe,Kapler,Gabe Kapler,2000,BS,166,Tigers,7,0,2,3,4,3,1,2,1,4,310,20,R,CF,2,LFRF,1,NULL,NULL,NULL,NULL,5,8,2
Dean,Palmer,Dean Palmer,2000,BS,170,Tigers,7,2,0,1,5,5,0,1,0,6,320,15,R,3B,1,NULL,NULL,NULL,NULL,NULL,NULL,3,7,1
Bruce,Aven,Bruce Aven,2000,BS,173,Marlins,9,2,1,2,5,7,0,1,0,2,320,15,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
Dave,Berg,Dave Berg,2000,BS,174,Marlins,8,2,1,1,3,10,0,2,0,1,260,15,R,2B,3,SS,3,3B,1,NULL,NULL,4,3,3
Luis,Castillo,Luis Castillo,2000,BS,175,Marlins,9,1,3,0,5,6,3,1,1,0,330,20,S,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Alex,Gonzalez,Alex Gonzalez,2000,BS,178,Marlins,6,1,0,1,0,11,0,2,2,3,190,15,R,SS,2,NULL,NULL,NULL,NULL,NULL,NULL,2,7,1
Mark,Kotsay,Mark Kotsay,2000,BS,179,Marlins,6,0,1,2,0,10,1,2,2,2,150,15,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,7,1
Derrek,Lee,Derrek Lee,2000,BS,180,Marlins,5,3,0,0,3,7,1,2,0,4,100,15,R,1B,1,NULL,NULL,NULL,NULL,NULL,NULL,3,7,1
Mike,Lowell,Mike Lowell,2000,BS,182,Marlins,7,2,0,2,4,7,0,2,0,3,200,10,R,3B,2,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Mike,Redmond,Mike Redmond,2000,BS,184,Marlins,9,1,2,1,4,11,0,1,0,0,200,10,R,C,7,NULL,NULL,NULL,NULL,NULL,NULL,4,1,1
Preston,Wilson,Preston Wilson,2000,BS,186,Marlins,8,4,0,1,4,5,1,1,0,4,350,15,R,OF,0,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Jeff,Bagwell,Jeff Bagwell,2000,BS,187,Astros,10,1,0,2,9,3,1,1,0,3,570,20,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
Derek,Bell,Derek Bell,2000,BS,188,Astros,6,1,1,0,6,7,2,1,0,2,140,20,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,2,5,1
Craig,Biggio,Craig Biggio,2000,BS,189,Astros,9,1,3,1,5,5,1,3,0,1,350,20,R,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Tim,Bogar,Tim Bogar,2000,BS,190,Astros,7,0,3,2,5,6,0,2,1,1,160,15,R,SS,5,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Ken,Caminiti,Ken Caminiti,2000,BS,191,Astros,9,1,2,2,6,5,1,1,0,2,330,15,S,3B,1,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Tony,Eusebio,Tony Eusebio,2000,BS,193,Astros,8,2,3,0,4,9,0,1,0,1,170,10,R,C,7,NULL,NULL,NULL,NULL,NULL,NULL,5,2,1
Carl,Everett,Carl Everett,2000,BS,194,Astros,9,1,1,2,4,4,2,3,0,3,540,20,S,OF,2,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Richard,Hidalgo,Richard Hidalgo,2000,BS,196,Astros,7,0,1,3,8,1,1,3,0,3,200,15,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,7,1
Stan,Javier,Stan Javier,2000,BS,197,Astros,8,0,4,1,3,9,2,1,0,0,200,20,S,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
Bill,Spiers,Bill Spiers,2000,BS,201,Astros,8,0,2,2,4,8,1,1,1,1,220,15,L,3B,1,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Carlos,Beltran,Carlos Beltran,2000,BS,203,Royals,7,1,1,1,1,9,2,1,1,3,320,20,S,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,7,1
Johnny,Damon,Johnny Damon,2000,BS,204,Royals,9,0,3,2,4,5,2,2,1,1,360,20,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Jermaine,Dye,Jermaine Dye,2000,BS,205,Royals,8,1,2,2,3,5,0,3,1,3,310,15,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,7,1
Carlos,Febles,Carlos Febles,2000,BS,206,Royals,8,2,3,0,5,4,2,2,1,1,270,20,R,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Jeremy,Giambi,Jeremy Giambi,2000,BS,207,Royals,8,2,1,0,6,9,0,1,0,1,170,10,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,3,2,1
Chad,Kreuter,Chad Kreuter,2000,BS,208,Royals,6,1,1,0,7,8,0,2,0,1,90,10,S,C,7,NULL,NULL,NULL,NULL,NULL,NULL,2,3,1
Joe,Randa,Joe Randa,2000,BS,210,Royals,8,0,1,2,2,10,0,2,1,2,290,15,R,3B,1,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
Rey,Sanchez,Rey Sanchez,2000,BS,212,Royals,7,0,4,0,0,13,1,1,1,0,150,15,R,SS,5,NULL,NULL,NULL,NULL,NULL,NULL,4,3,1
Tim,Spehr,Tim Spehr,2000,BS,214,Royals,7,2,0,2,10,0,0,1,0,5,260,15,R,C,3,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Mike,Sweeney,Mike Sweeney,2000,BS,216,Royals,9,0,3,1,4,7,0,3,0,2,340,15,R,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Adrian,Beltre,Adrian Beltre,2000,BS,218,Dodgers,8,1,2,2,4,6,1,1,1,2,310,20,R,3B,2,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Mark,Grudzielanek,Mark Grudzielanek,2000,BS,221,Dodgers,9,1,3,1,2,10,0,1,1,1,300,15,R,SS,1,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
Dave,Hansen,Dave Hansen,2000,BS,222,Dodgers,10,2,1,2,9,3,0,2,0,1,290,10,L,1B,0,3B,0,NULL,NULL,NULL,NULL,5,3,2
Todd,Hundley,Todd Hundley,2000,BS,223,Dodgers,6,2,0,2,7,1,0,1,0,7,240,15,L,C,4,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Eric,Karros,Eric Karros,2000,BS,224,Dodgers,8,1,1,2,3,5,1,3,0,4,360,15,R,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Raul,Mondesi,Raul Mondesi,2000,BS,225,Dodgers,7,1,1,2,5,1,3,1,1,5,340,20,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,10,1
Gary,Sheffield,Gary Sheffield,2000,BS,228,Dodgers,10,0,2,3,6,6,0,0,0,3,460,15,R,LFRF,0,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
Jose,Vizcaino,Jose Vizcaino,2000,BS,230,Dodgers,6,0,3,0,3,14,0,0,0,0,80,15,S,2B,4,SS,4,NULL,NULL,NULL,NULL,3,0,2
Devon,White,Devon White,2000,BS,231,Dodgers,7,1,1,1,4,7,2,1,0,3,290,20,S,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,6,1
Eric,Young,Eric Young,2000,BS,232,Dodgers,9,0,3,2,6,5,3,1,0,0,270,20,R,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
